,poseł,klub/koło,Liczba wypowiedzi (W tym jako członka RM)
247,Krzysztof Szulowski,PiS,38
248,Elżbieta Gelert,KO,37
249,Marta Golbik,KO,37
250,Rafał Grupiński,KO,37
251,Marcin Kulasek,Lewica,37
252,Krzysztof Lipiec,PiS,37
253,Andrzej Rozenek,LD,37
254,Bartłomiej Sienkiewicz,KO,37
255,Urszula Augustyn,KO,36
256,Maria Kurowska,PiS,36
257,Arkadiusz Myrcha,KO,36
258,Bolesław Piecha,PiS,36
259,Ireneusz Raś,KP,36
260,Marcin Warchoł,PiS,36(35)
261,Tomasz Ławniczak,PiS,35
262,Edward Siarka,PiS,35(21)
263,Waldy Dzikowski,KO,34
264,Elżbieta Gapińska,KO,34
265,Radosław Lubczyk,KP,34
266,Mirosław Maliszewski,KP,34
267,Piotr Wawrzyk,PiS,34(32)
268,Marek Gróbarczyk,PiS,33(33)
269,Jan Mosiński,PiS,33
270,Violetta Porowska,PiS,33
271,Magdalena Sroka,Porozumienie,33
272,Bożena Borys-Szopa,PiS,32
273,Dariusz Piontkowski,PiS,32(32)
274,Grzegorz Adam Woźniak,PiS,32
275,Wojciech Zubowski,PiS,32
276,Marek Biernacki,KP,31
277,Tadeusz Cymański,PiS,31
278,Witold Czarnecki,PiS,31
279,Jadwiga Emilewicz,PiS,31(13)
280,Marcin Horała,PiS,31(30)
281,Jerzy Paul,PiS,31
282,Piotr Polak,PiS,31
283,Anna Gembicka,PiS,30(27)
284,Andrzej Kryj,PiS,30
285,Iwona Michałek,Porozumienie,30(12)
286,Arkadiusz Mularczyk,PiS,30
287,Tadeusz Woźniak,PiS,30
288,Małgorzata Golińska,PiS,29(24)
289,Joanna Jaśkowiak,KO,29
290,Paweł Lisiecki,PiS,29
291,Zbigniew Babalski,PiS,28
292,Arkadiusz Iwaniak,Lewica,28
293,Wojciech Król,KO,28
294,Paweł Poncyljusz,KO,28
295,Mirosława Stachowiak-Różecka,PiS,28
296,Dominika Chorosińska,PiS,27
297,Tomasz Głogowski,KO,27
298,Joanna Lichocka,PiS,27
299,Marlena Magdalena Maląg,PiS,27(27)
300,Katarzyna Osos,KO,27
301,Anna Pieczarka,PiS,27
302,Grzegorz Puda,PiS,27(24)
303,Marek Sawicki,KP,27
304,Radosław Fogiel,PiS,26
305,Szymon Giżyński,PiS,26(25)
306,Teresa Glenc,PiS,26
307,Robert Gontarz,PiS,26
308,Agnieszka Górska,PiS,26
309,Jarosław Krajewski,PiS,26
310,Daniel Milewski,PiS,26
311,Waldemar Sługocki,KO,26
312,Michał Wójcik,PiS,26(20)
313,Leszek Galemba,PiS,25
314,Mariusz Kałużny,PiS,25
315,Marek Krząkała,KO,25
316,Bogusław Sonik,KO,25
317,Szymon Szynkowski vel Sęk,PiS,25(23)
318,Adam Śnieżek,PiS,25
319,Jacek Czerniak,Lewica,24
320,Maciej Górski,PiS,24
321,Marek Hok,KO,24
322,Wiesław Janczyk,PiS,24
323,Sebastian Kaleta,PiS,24(21)
324,Kazimierz Moskal,PiS,24
325,Paweł Papke,KO,24
326,Robert Warwas,PiS,24
327,Tadeusz Aziewicz,KO,23
328,Mariusz Błaszczak,PiS,23(23)
329,Bartłomiej Dorywalski,PiS,23
330,Jerzy Hardie-Douglas,KO,23
331,Jarosław Sellin,PiS,23(23)
332,Stanisław Bukowiec,Porozumienie,22
333,Tadeusz Chrzan,PiS,22
334,Anita Czerwińska,PiS,22(5)
335,Marek Matuszewski,PiS,22
336,Sławomir Neumann,KO,22
337,Piotr Müller,PiS,21
338,Marcin Porzucek,PiS,21
339,Tomasz Rzymkowski,PiS,21(18)
340,Bogusław Wontor,Lewica,21
341,Andrzej Adamczyk,PiS,20(19)
342,Elżbieta Duda,PiS,20
